Município;ICD10 Chapter I;ICD10 Chapter II;ICD10 Chapter III;ICD10 Chapter IV;ICD10 Chapter V;ICD10 Chapter VI;ICD10 Chapter VII;ICD10 Chapter VIII;ICD10 Chapter IX;ICD10 Chapter X;ICD10 Chapter XI;ICD10 Chapter XII;ICD10 Chapter XIII;ICD10 Chapter XIV;ICD10 Chapter XV;ICD10 Chapter XVI;ICD10 Chapter XVII;ICD10 Chapter XVIII;ICD10 Chapter XX;Total;cod_municipio
230445 Fortim;3.0;8.0;2.0;7.0;3.0;0.0;0.0;0.0;26.0;8.0;2.0;0.0;0.0;3.0;0.0;2.0;0.0;3.0;8.0;75.0;230445
230450 Frecheirinha;4.0;10.0;0.0;2.0;1.0;1.0;0.0;0.0;38.0;17.0;5.0;0.0;0.0;3.0;0.0;2.0;0.0;5.0;13.0;101.0;230450
230460 General Sampaio;1.0;7.0;0.0;2.0;1.0;3.0;0.0;0.0;10.0;4.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;5.0;38.0;230460
230465 Graça;8.0;11.0;1.0;11.0;1.0;3.0;0.0;0.0;24.0;16.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;8.0;6.0;92.0;230465
230470 Granja;15.0;32.0;2.0;20.0;6.0;6.0;0.0;0.0;85.0;57.0;13.0;1.0;1.0;6.0;0.0;10.0;3.0;2.0;25.0;284.0;230470
230480 Granjeiro;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;2.0;16.0;230480
230490 Groaíras;4.0;23.0;0.0;3.0;2.0;4.0;0.0;0.0;18.0;11.0;3.0;1.0;1.0;2.0;0.0;1.0;1.0;7.0;7.0;88.0;230490
230495 Guaiúba;2.0;11.0;0.0;11.0;2.0;3.0;0.0;0.0;48.0;20.0;5.0;2.0;1.0;3.0;0.0;1.0;1.0;15.0;27.0;152.0;230495
230500 Guaraciaba do Norte;6.0;44.0;0.0;26.0;5.0;4.0;0.0;0.0;93.0;27.0;10.0;0.0;0.0;5.0;1.0;2.0;1.0;6.0;42.0;272.0;230500
230510 Guaramiranga;2.0;7.0;1.0;2.0;0.0;0.0;0.0;0.0;12.0;5.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;9.0;45.0;230510
230520 Hidrolândia;5.0;23.0;1.0;11.0;1.0;3.0;0.0;0.0;46.0;25.0;6.0;0.0;0.0;4.0;0.0;2.0;0.0;3.0;18.0;148.0;230520
230523 Horizonte;15.0;62.0;3.0;14.0;4.0;5.0;0.0;0.0;83.0;40.0;12.0;1.0;0.0;5.0;0.0;5.0;2.0;18.0;91.0;360.0;230523
230526 Ibaretama;4.0;7.0;1.0;2.0;2.0;2.0;0.0;0.0;23.0;10.0;3.0;2.0;0.0;2.0;1.0;5.0;1.0;5.0;11.0;81.0;230526
230530 Ibiapina;4.0;29.0;0.0;10.0;6.0;3.0;0.0;0.0;58.0;15.0;9.0;2.0;1.0;3.0;1.0;4.0;1.0;0.0;19.0;165.0;230530
230533 Ibicuitinga;2.0;10.0;0.0;4.0;0.0;0.0;0.0;0.0;26.0;11.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;14.0;71.0;230533
230535 Icapuí;5.0;17.0;0.0;4.0;2.0;0.0;0.0;0.0;35.0;11.0;5.0;1.0;1.0;0.0;0.0;3.0;2.0;5.0;16.0;107.0;230535
230540 Icó;23.0;70.0;1.0;26.0;14.0;7.0;0.0;0.0;172.0;38.0;19.0;0.0;0.0;5.0;0.0;12.0;7.0;8.0;48.0;450.0;230540
